iter	Passed	Remaining
0	3	314
1	4	214
2	5	185
3	7	171
4	8	162
5	9	148
6	10	137
7	11	128
8	12	122
9	13	118
10	14	119
11	16	119
12	17	116
13	18	113
14	19	113
15	22	115
16	23	114
17	24	113
18	26	114
19	28	114
20	29	112
21	31	110
22	32	110
23	35	110
24	37	112
25	39	111
26	40	110
27	42	108
28	43	105
29	44	103
30	46	103
31	48	102
32	49	99
33	50	97
34	51	95
35	53	95
36	54	93
37	55	90
38	56	89
39	59	88
40	60	87
41	61	84
42	62	83
43	64	82
44	66	80
45	67	78
46	68	76
47	69	75
48	70	73
49	72	72
50	73	70
51	74	69
52	75	67
53	77	65
54	78	64
55	80	63
56	81	61
57	82	60
58	84	58
59	86	57
60	88	56
61	89	54
62	91	53
63	93	52
64	94	50
65	95	49
66	98	48
67	99	46
68	100	45
69	101	43
70	103	42
71	105	40
72	106	39
73	107	37
74	109	36
75	111	35
76	112	33
77	113	32
78	115	30
79	118	29
80	119	28
81	120	26
82	122	25
83	124	23
84	125	22
85	126	20
86	127	19
87	129	17
88	131	16
89	132	14
90	133	13
91	134	11
92	136	10
93	137	8
94	138	7
95	139	5
96	140	4
97	142	2
98	143	1
99	144	0
