iter	Passed	Remaining
0	1	1456
1	2	1184
2	3	1138
3	4	1117
4	5	1146
5	6	1086
6	7	1063
7	8	1031
8	9	1008
9	9	989
10	10	970
11	11	952
12	12	938
13	13	925
14	13	914
15	14	920
16	15	918
17	16	912
18	17	902
19	18	898
20	19	904
21	20	918
22	21	922
23	22	917
24	23	910
25	24	903
26	24	894
27	25	887
28	26	881
29	27	887
30	28	883
31	29	878
32	29	873
33	30	868
34	31	864
35	32	861
36	33	863
37	34	879
38	35	879
39	36	877
40	37	874
41	38	869
42	39	868
43	39	865
44	40	862
45	41	858
46	42	855
47	42	851
48	43	848
49	44	845
50	45	847
51	46	846
52	47	844
53	48	842
54	49	848
55	50	847
56	51	844
57	52	847
58	53	846
59	53	844
60	54	841
61	55	839
62	56	838
63	57	835
64	57	833
65	59	836
66	60	837
67	60	834
68	61	832
69	62	831
70	63	831
71	64	834
72	65	833
73	66	832
74	67	830
75	68	830
76	69	829
77	69	827
78	70	825
79	71	824
80	72	823
81	73	820
82	73	814
83	74	812
84	75	810
85	76	808
86	76	805
87	77	803
88	78	807
89	79	807
90	80	805
91	81	802
92	82	799
93	82	797
94	83	794
95	84	792
96	84	789
97	85	786
98	86	784
99	86	781
100	87	779
101	88	777
102	89	775
103	89	772
104	90	770
105	91	768
106	91	766
107	92	765
108	94	774
109	95	773
110	96	771
111	96	768
112	97	765
113	98	763
114	98	760
115	99	757
116	99	754
117	100	751
118	101	749
119	101	747
120	102	744
121	103	741
122	103	739
123	104	736
124	104	734
125	105	732
126	106	728
127	106	726
128	107	726
129	108	725
130	109	724
131	110	724
132	110	722
133	111	721
134	112	719
135	113	718
136	113	717
137	114	715
138	115	713
139	115	711
140	116	709
141	116	706
142	117	704
143	118	702
144	118	700
145	119	698
146	119	696
147	120	694
148	121	692
149	122	693
150	123	695
151	124	694
152	125	692
153	125	691
154	126	690
155	127	688
156	127	686
157	128	685
158	129	683
159	129	681
160	130	678
161	130	677
162	131	675
163	132	673
164	132	671
165	133	670
166	134	668
167	134	667
168	135	665
169	136	664
170	136	663
171	137	663
172	138	661
173	139	660
174	139	658
175	140	657
176	141	655
177	141	653
178	142	652
179	142	650
180	143	649
181	144	647
182	144	645
183	145	644
184	145	642
185	146	641
186	147	639
187	147	638
188	148	637
189	149	636
190	149	634
191	150	633
192	151	633
193	152	631
194	152	630
195	153	629
196	154	627
197	154	626
198	155	625
199	155	623
200	156	622
201	157	620
202	157	619
203	158	618
204	159	616
205	159	615
206	160	614
207	160	612
208	161	611
209	162	610
210	162	608
211	163	607
212	164	606
213	164	605
214	165	604
215	166	604
216	167	603
217	168	602
218	168	601
219	169	600
220	170	599
221	170	598
222	171	597
223	172	596
224	172	594
225	173	593
226	173	592
227	174	591
228	175	589
229	175	588
230	176	587
231	177	586
232	177	585
233	178	583
234	179	582
235	179	582
236	180	581
237	181	580
238	182	579
239	182	578
240	183	577
241	184	576
242	184	575
243	185	574
244	185	573
245	186	571
246	187	570
247	187	569
248	188	568
249	189	567
250	189	566
251	190	565
252	190	563
253	191	562
254	192	561
255	192	560
256	193	559
257	194	558
258	194	557
259	195	556
260	196	555
261	197	555
262	197	553
263	198	552
264	198	551
265	199	550
266	200	549
267	200	548
268	201	547
269	202	546
270	202	545
271	203	544
272	203	543
273	204	542
274	205	540
275	205	539
276	206	538
277	207	537
278	207	536
279	208	535
280	209	535
281	209	534
282	210	533
283	211	532
284	211	531
285	212	530
286	213	529
287	213	528
288	214	527
289	215	526
290	215	525
291	216	524
292	216	523
293	217	522
294	218	521
295	218	520
296	219	519
297	220	518
298	220	517
299	221	516
300	221	515
301	222	514
302	223	514
303	224	513
304	225	513
305	225	512
306	226	511
307	227	510
308	227	509
309	228	508
310	229	507
311	229	506
312	230	505
313	230	504
314	231	503
315	232	502
316	232	501
317	233	500
318	234	499
319	234	498
320	235	498
321	236	497
322	236	496
323	237	495
324	238	494
325	238	493
326	239	493
327	240	492
328	241	491
329	241	490
330	242	490
331	243	489
332	243	488
333	244	487
334	245	486
335	245	485
336	246	484
337	247	483
338	247	482
339	248	482
340	248	481
341	249	480
342	250	479
343	250	478
344	251	477
345	251	476
346	252	475
347	253	475
348	254	474
349	255	473
350	255	473
351	256	472
352	257	471
353	257	470
354	258	469
355	258	468
356	259	467
357	260	466
358	260	465
359	261	464
360	261	463
361	262	462
362	263	461
363	263	460
364	264	460
365	265	459
366	265	458
367	266	457
368	266	456
369	267	455
370	268	455
371	269	454
372	270	453
373	270	453
374	271	452
375	271	451
376	272	450
377	273	449
378	273	448
379	274	447
380	275	446
381	275	446
382	276	445
383	276	444
384	277	443
385	278	442
386	278	441
387	279	440
388	279	439
389	280	438
390	281	437
391	281	437
392	282	436
393	283	435
394	283	434
395	284	434
396	285	433
397	285	432
398	286	431
399	286	430
400	287	429
401	288	428
402	289	428
403	289	427
404	290	426
405	290	425
406	291	424
407	292	423
408	292	422
409	293	421
410	293	421
411	294	420
412	295	419
413	296	419
414	296	418
415	297	417
416	298	416
417	298	416
418	299	415
419	301	416
420	302	415
421	303	415
422	303	414
423	304	413
424	305	412
425	306	412
426	306	411
427	307	410
428	307	409
429	308	408
430	309	408
431	309	407
432	310	406
433	311	405
434	311	405
435	312	404
436	313	403
437	314	403
438	314	402
439	315	401
440	315	400
441	316	399
442	317	398
443	317	398
444	318	397
445	319	397
446	320	396
447	320	395
448	321	394
449	321	393
450	322	392
451	323	391
452	323	391
453	324	390
454	325	390
455	326	389
456	327	388
457	328	388
458	328	387
459	329	386
460	329	385
461	330	384
462	331	384
463	332	383
464	332	382
465	333	381
466	333	381
467	334	380
468	335	379
469	335	378
470	336	377
471	337	377
472	338	376
473	338	375
474	339	375
475	340	374
476	341	373
477	341	373
478	342	372
479	343	371
480	343	371
481	344	370
482	345	369
483	345	368
484	346	367
485	346	366
486	347	365
487	347	365
488	348	364
489	349	363
490	349	362
491	350	362
492	351	361
493	351	360
494	353	360
495	353	359
496	354	358
497	355	358
498	356	357
499	356	356
500	357	356
501	358	355
502	358	354
503	359	353
504	360	353
505	361	352
506	361	351
507	362	351
508	363	350
509	363	349
510	364	348
511	364	347
512	365	347
513	366	346
514	367	345
515	368	345
516	368	344
517	370	344
518	371	344
519	372	343
520	373	343
521	374	342
522	375	342
523	375	341
524	376	341
525	377	340
526	378	339
527	379	338
528	379	338
529	380	337
530	381	336
531	381	335
532	382	335
533	383	334
534	384	334
535	385	334
536	387	333
537	387	332
538	388	332
539	388	331
540	389	330
541	390	329
542	391	329
543	392	328
544	392	327
545	393	327
546	394	326
547	394	325
548	395	324
549	395	323
550	396	323
551	397	322
552	398	322
553	400	322
554	400	321
555	401	320
556	402	319
557	403	319
558	403	318
559	404	317
560	405	317
561	406	316
562	406	315
563	407	314
564	407	314
565	408	313
566	409	312
567	410	311
568	410	311
569	411	310
570	413	310
571	414	309
572	414	309
573	415	308
574	416	307
575	417	307
576	417	306
577	418	305
578	419	304
579	419	304
580	420	303
581	421	302
582	422	301
583	422	301
584	423	300
585	423	299
586	424	298
587	425	298
588	426	297
589	427	297
590	428	296
591	429	296
592	430	295
593	431	294
594	431	293
595	432	293
596	433	292
597	434	291
598	434	291
599	435	290
600	435	289
601	436	288
602	437	287
603	437	286
604	438	286
605	438	285
606	439	284
607	440	284
608	442	284
609	443	283
610	444	282
611	444	282
612	445	281
613	446	280
614	447	279
615	447	279
616	448	278
617	449	277
618	449	276
619	450	275
620	451	275
621	451	274
622	452	273
623	453	273
624	453	272
625	454	271
626	456	271
627	456	270
628	457	270
629	458	269
630	459	268
631	459	267
632	460	266
633	460	266
634	461	265
635	462	264
636	463	263
637	464	263
638	464	262
639	465	261
640	466	261
641	466	260
642	467	259
643	468	258
644	469	258
645	470	257
646	470	256
647	471	256
648	472	255
649	473	254
650	473	253
651	474	253
652	475	252
653	476	251
654	476	251
655	477	250
656	477	249
657	478	248
658	479	247
659	479	247
660	480	246
661	480	245
662	481	244
663	482	243
664	482	243
665	484	242
666	485	242
667	485	241
668	486	240
669	486	239
670	487	239
671	488	238
672	488	237
673	489	236
674	489	235
675	490	235
676	491	234
677	491	233
678	492	232
679	492	231
680	493	231
681	494	230
682	494	229
683	495	228
684	496	228
685	496	227
686	497	226
687	498	225
688	499	225
689	499	224
690	500	223
691	500	222
692	501	222
693	502	221
694	502	220
695	503	219
696	503	219
697	504	218
698	505	217
699	505	216
700	506	215
701	506	215
702	507	214
703	508	213
704	509	213
705	510	212
706	511	211
707	511	211
708	512	210
709	513	209
710	513	208
711	514	208
712	515	207
713	516	206
714	516	205
715	517	205
716	517	204
717	518	203
718	518	202
719	519	202
720	520	201
721	520	200
722	521	199
723	522	199
724	522	198
725	523	197
726	525	197
727	525	196
728	526	195
729	526	194
730	527	194
731	528	193
732	528	192
733	529	191
734	530	191
735	530	190
736	531	189
737	531	188
738	532	188
739	533	187
740	533	186
741	534	185
742	534	184
743	535	184
744	535	183
745	536	182
746	537	181
747	538	181
748	539	180
749	540	180
750	540	179
751	541	178
752	542	177
753	542	177
754	543	176
755	544	175
756	544	174
757	545	174
758	545	173
759	546	172
760	547	171
761	547	171
762	548	170
763	548	169
764	549	168
765	549	167
766	550	167
767	551	166
768	552	165
769	553	165
770	554	164
771	555	163
772	555	163
773	556	162
774	557	161
775	557	161
776	558	160
777	559	159
778	559	158
779	560	158
780	560	157
781	561	156
782	562	155
783	562	155
784	563	154
785	563	153
786	564	152
787	565	152
788	565	151
789	566	150
790	567	149
791	568	149
792	569	148
793	570	147
794	570	147
795	571	146
796	571	145
797	572	144
798	573	144
799	573	143
800	574	142
801	575	141
802	575	141
803	576	140
804	576	139
805	577	138
806	577	138
807	578	137
808	579	136
809	579	136
810	580	135
811	581	134
812	582	134
813	583	133
814	584	132
815	585	131
816	585	131
817	586	130
818	587	129
819	587	129
820	588	128
821	589	127
822	589	126
823	590	126
824	591	125
825	591	124
826	592	123
827	592	123
828	593	122
829	594	121
830	595	121
831	596	120
832	597	119
833	598	119
834	598	118
835	599	117
836	600	116
837	601	116
838	602	115
839	602	114
840	603	114
841	604	113
842	604	112
843	605	111
844	606	111
845	607	110
846	607	109
847	608	109
848	609	108
849	610	107
850	611	107
851	612	106
852	612	105
853	613	104
854	614	104
855	615	103
856	615	102
857	616	102
858	617	101
859	617	100
860	618	99
861	619	99
862	619	98
863	620	97
864	621	96
865	621	96
866	622	95
867	623	94
868	623	94
869	624	93
870	625	92
871	626	92
872	627	91
873	628	90
874	628	89
875	629	89
876	630	88
877	630	87
878	631	86
879	632	86
880	633	85
881	633	84
882	634	84
883	634	83
884	635	82
885	635	81
886	636	81
887	637	80
888	638	79
889	639	79
890	641	78
891	642	77
892	643	77
893	644	76
894	645	75
895	646	74
896	646	74
897	647	73
898	647	72
899	648	72
900	649	71
901	649	70
902	650	69
903	651	69
904	652	68
905	653	67
906	654	67
907	655	66
908	656	65
909	656	64
910	657	64
911	658	63
912	658	62
913	659	62
914	659	61
915	660	60
916	661	59
917	661	59
918	662	58
919	663	57
920	663	56
921	664	56
922	665	55
923	665	54
924	667	54
925	667	53
926	668	52
927	669	51
928	670	51
929	670	50
930	671	49
931	671	49
932	672	48
933	673	47
934	673	46
935	674	46
936	675	45
937	675	44
938	676	43
939	676	43
940	677	42
941	678	41
942	678	41
943	679	40
944	680	39
945	681	38
946	682	38
947	682	37
948	683	36
949	684	36
950	684	35
951	685	34
952	686	33
953	687	33
954	687	32
955	688	31
956	688	30
957	689	30
958	689	29
959	690	28
960	691	28
961	691	27
962	692	26
963	693	25
964	694	25
965	694	24
966	695	23
967	696	23
968	696	22
969	697	21
970	698	20
971	699	20
972	700	19
973	700	18
974	701	17
975	702	17
976	703	16
